word,phonetic,definition,translation,pos,collins,oxford,tag,bnc,frq,exchange,detail,audio
-gyny,dʒini,, 表示：妇女；女性; 有(某种或若干)雌性; 女性生殖器；雌性生殖器；雌蕊,,,,,0,0,,,
-head,hed,,n. 头；头痛；上端；最前的部分；理解力\nvt. 前进；用头顶；作为…的首领；站在…的前头；给…加标题\nvi. 出发；成头状物；船驶往\na. 头的；主要的；在顶端的\nn. (Head)人名；(英)黑德,,,,,0,0,,,
-honored,ˈɒnə(r)d,,a. 受尊敬的；已承兑或付款的\nv. 荣幸（honor的过去分词）,,,,,0,0,,,
-hood,,, …的状态（或性质）,,,,,0,0,,,
-hydric,'haidrik,, [化学]表示含羟基的；含...个羟基的,,,,,0,0,,,
-ia,'ɪə,," [医]〔词尾〕意为：情况, 状况",,,,,0,0,,,
-ial,jəl,," [构成形容词]表示具有...特性的,属于...的：ceremonial, jovial, judicial, artificial",,,,,0,0,,,
-ian,jən,,suff. 属于...的（构成名词或形容词词尾）,,,,,0,0,,,
-iasis,ɪə'sɪs,," [医]〔词尾〕意为病, 病态。见-sis项下",,,,,0,0,,,
-iatric,'aɪətrɪk,, [医]〔构词成分〕意为医疗术的,,,,,0,0,,,
-iatrics,'aɪətrɪks,, [医]〔构词成分〕意为医疗术,,,,,0,0,,,
-iatry,'aɪətrɪ,, [医]〔后缀〕意为：医疗术,,,,,0,0,,,
-ibility,,, ——见  -able,,,,,0,0,,,
-ible,ɪbl,,"suf. [用于构成以-ire或-ere结尾的拉丁语动词派生的形容词]表示可...的, 能...地",,,,,0,0,,,
-ibly,əbli; ibli,,"suf. [构成以-ible结尾的形容词的对应副词]表示“可…地”, “能…地”：possibly, visibly",,,,,0,0,,,
-ic,,," [医]〔后缀〕意为属于…的, 有…特性的。例如acidic（酸性的）",,,,,0,0,,,
-ical,,,abbr. 互联网日历（iCalendar）,,,,,0,0,,,
-ically,ikəli,,"suf. [构成以-ic, ical 结尾的形容词的对应副词]",,,,,0,0,,,
-ician,i'ʃən,,"suf. [构成名词后缀]表示...家,...师,...工作者：beautician, geometrician, physician",,,,,0,0,,,
-ics,iks,,"suf. [构成名词后缀]; [通常用作单数]表示...学,...术,...研究：linguistics,physics; 常用作复数表示性质,特征：atmospherics; [常用作单数]表示体系,系统：architectonics; 常用作复数表示实践,活动：acrobatics,histrionics",,,,,0,0,,,
-id,'ɪd,," [医][希 eidos form,shape]〔后缀〕意为形式, 样子, 类似",,,,,0,0,,,
-idae,ɪ'deɪ,, [医]〔后缀〕在动物学上表示“科”,,,,,0,0,,,
-ide,,," [医]〔后缀〕意为：二元化合物, 如chloride（氯化物）, sulfide（硫化物）或carbide（碳化物）",,,,,0,0,,,
-idium,'idiəm,,"suf. 构词成分, 用以构成动物学、生物学、植物学、解剖学、化学名称中]表示“小的东西”：peridium",,,,,0,0,,,
-ie,i,,"suf. [构成名词] 表示：小,小而可爱：beautie; 属于...类型的人(或物), 有...性质的人(或物)：bookie; 与...有关的人(或物)：townie",,,,,0,0,,,
-ier,ə(r),,suf. 表示与...活动(或事物)有关的人,,,,,0,0,,,
-iferous,'ifərəs,,comb.form =-ferous,,,,,0,0,,,
-iform,ifɔ:m,,comb.form =-form,,,,,0,0,,,
-ify,ifai,,suf. =-fy：intensify,,,,,0,0,,,
-ile,ɪl,,"suf. [后缀,构成形容词和名词]表示能,与...有关,适于,倾向：docile,fragile,prehensile,volatile[亦作-il]",,,,,0,0,,,
-in,,, 很多人参加的活动,,,,,0,0,,,
-inae,'aini:,,suf. [动物学][用以构成动物亚科名称]表示...亚科：Felinae,,,,,0,0,,,
-incher,'intʃə,,n. 小管；口径是…英寸的东西,,,,,0,0,,,
-ine,aɪni:n,," [医]〔后缀〕意为：生物碱, 卤素, 有机碱",,,,,0,0,,,
-ing,iŋ,,a. 表示行为、状态、情况等；表示...行业、...学、...法；表示总称及材料 与...有关的东西,,,,,0,0,,,
-ion,,, …行为；…状态,,,,,0,0,,,
-ious,jəs,,"suf. [构成形容词]表示具有...性质的,充满...的：delicious, precious, anxious",,,,,0,0,,,
-ise,,, ——见  -ize,,,,,0,0,,,
-ish, iʃ,,suff. 像...似的; ...民族的; 有点儿...的; 大约...,,,,,0,0,,,
-ising,,,n. 伊辛（一种模型名）,,,,,0,0,,,
-ism,,," [医]〔后缀〕：状态, 情况：尤指由特定原因所致疾病状态, 如alcoholism（酒精中毒）",,,,,0,0,,,
-ist,,, …的信仰者；…的实行者,,,,,0,0,,,
-ista,,, 非常热衷于…的人,,,,,0,0,,,
-ite,,, [医]〔后缀〕意为矿、岩石及身体或器官的一部,,,,,0,0,,,
